group,eps,case,relerr
diag,1e-4,1,8.430624421013097e-12
diag,1e-4,1,3.163709738349898e-13
diag,1e-4,1,5.434739102548792e-10
diag,1e-4,1,1.663912127157835e-06
diag,1e-4,1,2.937603654075129e-08
diag,1e-4,1,3.953778361196998e-11
diag,1e-4,1,3.086906872167346e-11
diag,1e-4,1,1.945808499455672e-10
diag,1e-4,1,1.112660227199313e-07
diag,1e-4,1,9.110182454293074e-12
diag,1e-4,1,2.043730040383181e-12
diag,1e-4,1,5.687439238535989e-12
diag,1e-4,1,9.968084776637124e-12
diag,1e-4,1,5.049734480546612e-13
diag,1e-4,1,5.071532545709229e-11
diag,1e-4,1,2.648578629435522e-12
diag,1e-4,1,3.215107315007719e-12
diag,1e-4,1,3.398327623435628e-09
diag,1e-4,1,6.066601278868211e-10
diag,1e-4,1,5.005347087650703e-12
diag,1e-4,1,6.152974371531274e-08
diag,1e-4,1,4.398385477147307e-10
diag,1e-4,1,7.880121182489551e-05
diag,1e-4,1,1.655962455899467e-08
diag,1e-4,1,1.594507073572896e-07
diag,1e-4,1,6.584305178461528e-14
diag,1e-4,1,2.290122656724227e-11
diag,1e-4,1,1.087262123300248e-11
diag,1e-4,1,5.569691404393271e-08
diag,1e-4,1,1.317292011449118e-14
diag,1e-4,1,2.181608271549081e-08
diag,1e-4,1,1.873983367390711e-08
diag,1e-4,1,2.008551452978786e-10
diag,1e-4,1,1.679636755103484e-13
diag,1e-4,1,7.872031368853665e-12
diag,1e-4,1,6.803092975709554e-13
diag,1e-4,1,1.147162047395265e-06
diag,1e-4,1,3.720771136981556e-13
diag,1e-4,1,4.044068069145660e-10
diag,1e-4,1,5.924832596003690e-09
diag,1e-4,1,9.714783883797638e-13
diag,1e-4,1,6.760139323123129e-08
diag,1e-4,1,1.172199081539389e-13
diag,1e-4,1,2.583271236386393e-12
diag,1e-4,1,7.645633238444605e-14
diag,1e-4,1,6.851252254634026e-08
diag,1e-4,1,1.141555918274995e-07
diag,1e-4,1,5.223762477754858e-12
diag,1e-4,1,3.123447393024042e-09
diag,1e-4,1,1.653598321784990e-06
diag,1e-4,1,7.704257051629297e-12
diag,1e-4,1,1.099803625717827e-07
diag,1e-4,1,2.191318617244106e-10
diag,1e-4,1,1.076965530347146e-11
diag,1e-4,1,1.883967203242061e-13
diag,1e-4,1,1.788029591941894e-12
diag,1e-4,1,1.240485197083203e-13
diag,1e-4,1,4.505201596841205e-07
diag,1e-4,1,1.044707878981578e-06
diag,1e-4,1,2.161352600073722e-10
diag,1e-4,1,2.352732591256329e-09
diag,1e-4,1,1.586998185477787e-11
diag,1e-4,1,7.185282731239022e-07
diag,1e-4,1,2.021381630056977e-08
diag,1e-4,1,2.429525216125019e-11
diag,1e-4,1,5.622711601735007e-07
diag,1e-4,1,3.189135523199022e-10
diag,1e-4,1,2.422137602746879e-09
diag,1e-4,1,5.127675884583996e-13
diag,1e-4,1,6.114893263469768e-11
diag,1e-4,1,7.625000577369380e-11
diag,1e-4,1,8.357736557365600e-12
diag,1e-4,1,7.661898585515981e-11
diag,1e-4,1,1.168487966966528e-10
diag,1e-4,1,7.740590200957299e-08
diag,1e-4,1,7.032841020187802e-08
diag,1e-4,1,8.834083117533474e-07
diag,1e-4,1,3.449488533043157e-12
diag,1e-4,1,4.760580080608844e-09
diag,1e-4,1,6.722914415427607e-08
diag,1e-4,1,4.348484580140510e-11
diag,1e-4,1,2.512305370547088e-12
diag,1e-4,1,8.251898577491380e-12
diag,1e-4,1,7.838975559039315e-10
diag,1e-4,1,4.725385073385241e-11
diag,1e-4,1,2.606917998763644e-10
diag,1e-4,1,3.535834339200554e-08
diag,1e-4,1,2.086945933737464e-10
diag,1e-4,1,1.486247322403649e-08
diag,1e-4,1,1.373389814843519e-12
diag,1e-4,1,4.513722967251318e-13
diag,1e-4,1,1.535253387589962e-12
diag,1e-4,1,5.267763347026200e-11
diag,1e-4,1,3.236842611209344e-13
diag,1e-4,1,2.534192402227348e-12
diag,1e-4,1,1.006272743588082e-11
diag,1e-4,1,2.718913258367620e-13
diag,1e-4,1,5.584643111411029e-12
diag,1e-4,1,4.267783776404349e-13
diag,1e-4,1,6.898898915293639e-10
diag,1e-4,1,6.365751489583746e-11
diag,1e-4,1,5.986283426902949e-09
diag,1e-4,1,2.091588555784730e-12
diag,1e-4,1,4.275520080887449e-07
diag,1e-4,1,1.950439536856666e-12
diag,1e-4,1,9.075185156407075e-13
diag,1e-4,1,1.809022878016577e-14
diag,1e-4,1,3.566463302201639e-06
diag,1e-4,1,9.265238705055648e-13
diag,1e-4,1,1.728876714577523e-12
diag,1e-4,1,8.812333582768037e-08
diag,1e-4,1,1.617383327109647e-07
diag,1e-4,1,1.104758320217759e-09
diag,1e-4,1,9.027677718821818e-07
diag,1e-4,1,1.693950002170379e-11
diag,1e-4,1,1.838913023640952e-12
diag,1e-4,1,1.032534685902145e-09
diag,1e-4,1,4.323335275945279e-10
diag,1e-4,1,3.897380514999831e-13
diag,1e-4,1,3.802298995219292e-14
diag,1e-4,1,1.973904989942900e-14
diag,1e-4,1,1.165681043051041e-11
diag,1e-4,1,9.881474351780769e-11
diag,1e-4,1,1.436430512460214e-10
diag,1e-4,1,3.162333120939489e-09
diag,1e-4,1,2.272537765825731e-13
diag,1e-4,1,1.660637040469047e-12
diag,1e-4,1,3.124791565875698e-10
diag,1e-4,1,1.558987236843495e-09
diag,1e-4,1,7.582958490304342e-11
diag,1e-4,1,4.005397599760522e-12
diag,1e-4,1,3.696165173011212e-11
diag,1e-4,1,1.405034147091623e-13
diag,1e-4,1,2.749286464560569e-08
diag,1e-4,1,4.111907161996070e-12
diag,1e-4,1,1.911299740950745e-12
diag,1e-4,1,6.022745164572756e-10
diag,1e-4,1,2.984794171470066e-06
diag,1e-4,1,1.375767128584737e-12
diag,1e-4,1,8.978559852616928e-12
diag,1e-4,1,3.780928535186730e-10
diag,1e-4,1,1.158171429303932e-09
diag,1e-4,1,1.480422753068467e-08
diag,1e-4,1,4.770641621087073e-14
diag,1e-4,1,2.412382906010118e-14
diag,1e-4,1,6.752077318003402e-12
diag,1e-4,1,4.572371253498066e-13
diag,1e-4,1,2.385340595642695e-08
diag,1e-4,1,8.135183045773190e-13
diag,1e-4,1,8.721454528076030e-13
diag,1e-4,1,1.186332620117221e-09
diag,1e-4,1,8.138217912685897e-11
diag,1e-4,1,1.028028162337410e-10
diag,1e-4,1,5.140291184401928e-11
diag,1e-4,1,1.045153139816390e-10
diag,1e-4,1,1.046650723289644e-12
diag,1e-4,1,1.042832663531856e-12
diag,1e-4,1,9.493082713695308e-08
diag,1e-4,1,1.930669884071349e-13
diag,1e-4,1,2.665120022942898e-12
diag,1e-4,1,7.602420317974944e-10
diag,1e-4,1,7.857792807506464e-12
diag,1e-4,1,4.820890567522480e-10
diag,1e-4,1,6.159357710698801e-11
diag,1e-4,1,3.646274685372862e-11
diag,1e-4,1,7.375294900439428e-09
diag,1e-4,1,1.532433826104473e-13
diag,1e-4,1,2.580434397502903e-13
diag,1e-4,1,5.132173750509243e-13
diag,1e-4,1,7.586938254971127e-12
diag,1e-4,1,2.509959527590755e-10
diag,1e-4,1,2.798708561446410e-12
diag,1e-4,1,2.823746436107076e-07
diag,1e-4,1,1.350445502463980e-10
diag,1e-4,1,1.888112604188378e-14
diag,1e-4,1,2.580903074145962e-11
diag,1e-4,1,3.538926280482921e-10
diag,1e-4,1,4.172715027426322e-13
diag,1e-4,1,3.490629113605031e-13
diag,1e-4,1,1.865124623726356e-09
diag,1e-4,1,6.685593889241406e-12
diag,1e-4,1,1.443983503505481e-09
diag,1e-4,1,1.164552225798686e-07
diag,1e-4,1,2.791980670895078e-09
diag,1e-4,1,3.463415271246612e-10
diag,1e-4,1,1.278194280003943e-12
diag,1e-4,1,6.731905228062346e-12
diag,1e-4,1,1.068904745950951e-13
diag,1e-4,1,4.146960082421171e-15
diag,1e-4,1,6.890586324273417e-13
diag,1e-4,1,5.512066180850254e-14
diag,1e-4,1,5.401609919830532e-12
diag,1e-4,1,4.836042917416982e-11
